h_p_um,oil,eps_max,W_smooth,W_tex,W_gain,f_smooth,f_tex,f_gain,Ftr_smooth,Ftr_tex,Ftr_gain,Nloss_smooth,Nloss_tex,Nloss_gain,pmax_smooth_MPa,pmax_tex_MPa,pmax_gain,Q_smooth_cm3s,Q_tex_cm3s,Q_gain
30,Минеральное,0.80,10287.0,11262.2,1.095,0.00755,0.00676,0.896,77.66,76.16,0.981,853.9,837.4,0.981,7.14,7.51,1.052,0.3503,0.3657,1.044
30,Рапсовое,0.80,11588.9,12793.3,1.104,0.00761,0.00676,0.888,88.22,86.53,0.981,970.1,951.4,0.981,7.95,8.50,1.069,0.3512,0.3669,1.045
