h_p_um,oil,eps_max,W_smooth,W_tex,W_gain,f_smooth,f_tex,f_gain,Ftr_smooth,Ftr_tex,Ftr_gain,Nloss_smooth,Nloss_tex,Nloss_gain,pmax_smooth_MPa,pmax_tex_MPa,pmax_gain,Q_smooth_cm3s,Q_tex_cm3s,Q_gain
30,Минеральное,0.80,10547.8,14311.7,1.357,0.00737,0.00535,0.726,77.71,76.57,0.985,854.5,841.9,0.985,7.39,10.56,1.429,0.3528,0.3910,1.108
30,Рапсовое,0.80,11908.8,16182.1,1.359,0.00741,0.00537,0.725,88.29,86.97,0.985,970.8,956.3,0.985,8.28,11.83,1.429,0.3533,0.3920,1.109
