h_p_um,oil,eps_max,W_smooth,W_tex,W_gain,f_smooth,f_tex,f_gain,Ftr_smooth,Ftr_tex,Ftr_gain,Nloss_smooth,Nloss_tex,Nloss_gain,pmax_smooth_MPa,pmax_tex_MPa,pmax_gain,Q_smooth_cm3s,Q_tex_cm3s,Q_gain
30,Минеральное,0.80,9735.2,9252.8,0.950,0.00796,0.00819,1.029,77.53,75.80,0.978,852.5,833.5,0.978,6.63,6.02,0.909,0.3446,0.3464,1.005
30,Рапсовое,0.80,11018.4,10505.0,0.953,0.00800,0.00820,1.026,88.09,86.13,0.978,968.6,947.1,0.978,7.48,6.82,0.913,0.3447,0.3467,1.006
