h_p_um,oil,eps_max,W_smooth,W_tex,W_gain,f_smooth,f_tex,f_gain,Ftr_smooth,Ftr_tex,Ftr_gain,Nloss_smooth,Nloss_tex,Nloss_gain,pmax_smooth_MPa,pmax_tex_MPa,pmax_gain,Q_smooth_cm3s,Q_tex_cm3s,Q_gain
30,Минеральное,0.80,9802.8,9366.4,0.955,0.00791,0.00810,1.023,77.55,75.83,0.978,852.7,833.8,0.978,6.69,6.11,0.913,0.3447,0.3471,1.007
30,Рапсовое,0.80,11055.1,10609.2,0.960,0.00797,0.00812,1.019,88.10,86.16,0.978,968.7,947.3,0.978,7.48,6.90,0.922,0.3458,0.3473,1.004
