tau,WaX_nd,WaY_nd
22.095868,-1.576670e-02,3.458940e-01
22.130775,-2.113724e-02,3.455249e-01
22.165682,-2.656229e-02,3.450506e-01
22.200588,-3.203992e-02,3.444712e-01
22.235495,-3.756817e-02,3.437869e-01
22.270401,-4.314500e-02,3.429978e-01
22.305308,-4.876829e-02,3.421043e-01
22.340214,-5.443584e-02,3.411065e-01
22.375121,-6.014543e-02,3.400049e-01
22.410028,-6.589473e-02,3.387997e-01
22.444934,-7.168135e-02,3.374912e-01
22.479841,-7.750287e-02,3.360800e-01
22.514747,-8.335678e-02,3.345664e-01
22.549654,-8.924051e-02,3.329509e-01
22.584561,-9.515144e-02,3.312340e-01
22.619467,-1.010869e-01,3.294162e-01
22.654374,-1.070442e-01,3.274980e-01
22.689280,-1.130204e-01,3.254801e-01
22.724187,-1.190129e-01,3.233630e-01
22.759093,-1.250187e-01,3.211474e-01
22.794000,-1.310348e-01,3.188340e-01
22.828907,-1.370584e-01,3.164235e-01
22.863813,-1.430864e-01,3.139166e-01
22.898720,-1.491157e-01,3.113141e-01
22.933626,-1.551433e-01,3.086167e-01
22.968533,-1.611660e-01,3.058254e-01
23.003440,-1.671808e-01,3.029409e-01
23.038346,-1.731843e-01,2.999641e-01
23.073253,-1.791735e-01,2.968959e-01
23.108159,-1.851450e-01,2.937373e-01
23.143066,-1.910957e-01,2.904892e-01
23.177972,-1.970223e-01,2.871526e-01
23.212879,-2.029214e-01,2.837286e-01
23.247786,-2.087898e-01,2.802181e-01
23.282692,-2.146242e-01,2.766223e-01
23.317599,-2.204212e-01,2.729422e-01
23.352505,-2.261776e-01,2.691790e-01
23.387412,-2.318900e-01,2.653338e-01
23.422319,-2.375551e-01,2.614077e-01
23.457225,-2.431696e-01,2.574021e-01
23.492132,-2.487302e-01,2.533180e-01
23.527038,-2.542335e-01,2.491568e-01
23.561945,-2.596764e-01,2.449196e-01
23.596851,-2.650556e-01,2.406079e-01
23.631758,-2.703677e-01,2.362229e-01
23.666665,-2.756096e-01,2.317659e-01
23.701571,-2.807781e-01,2.272383e-01
23.736478,-2.858700e-01,2.226415e-01
23.771384,-2.908822e-01,2.179769e-01
23.806291,-2.958116e-01,2.132458e-01
23.841198,-3.006551e-01,2.084499e-01
23.876104,-3.054096e-01,2.035904e-01
23.911011,-3.100722e-01,1.986689e-01
23.945917,-3.146400e-01,1.936869e-01
23.980824,-3.191100e-01,1.886459e-01
24.015731,-3.234795e-01,1.835474e-01
24.050637,-3.277456e-01,1.783930e-01
24.085544,-3.319055e-01,1.731843e-01
24.120450,-3.359568e-01,1.679229e-01
24.155357,-3.398966e-01,1.626102e-01
24.190263,-3.437225e-01,1.572481e-01
24.225170,-3.474320e-01,1.518380e-01
24.260077,-3.510226e-01,1.463817e-01
24.294983,-3.544921e-01,1.408808e-01
24.329890,-3.578381e-01,1.353370e-01
24.364796,-3.610586e-01,1.297520e-01
24.399703,-3.641512e-01,1.241274e-01
24.434610,-3.671141e-01,1.184651e-01
24.469516,-3.699452e-01,1.127666e-01
24.504423,-3.726427e-01,1.070338e-01
24.539329,-3.752048e-01,1.012684e-01
24.574236,-3.776298e-01,9.547214e-02
24.609142,-3.799161e-01,8.964680e-02
24.644049,-3.820621e-01,8.379416e-02
24.678956,-3.840664e-01,7.791599e-02
24.713862,-3.859277e-01,7.201409e-02
24.748769,-3.876448e-01,6.609025e-02
24.783675,-3.892164e-01,6.014629e-02
24.818582,-3.906416e-01,5.418400e-02
24.853489,-3.919193e-01,4.820520e-02
24.888395,-3.930488e-01,4.221172e-02
24.923302,-3.940291e-01,3.620538e-02
24.958208,-3.948598e-01,3.018802e-02
24.993115,-3.955402e-01,2.416146e-02
25.028021,-3.960699e-01,1.812753e-02
25.062928,-3.964485e-01,1.208809e-02
25.097835,-3.966758e-01,6.044967e-03
