tau,WaX_nd,WaY_nd
4.886922,1.676064e-01,-2.226415e-01
4.921828,1.691660e-01,-2.179769e-01
4.956735,1.706683e-01,-2.132458e-01
4.991642,1.721144e-01,-2.084499e-01
5.026548,1.735054e-01,-2.035904e-01
5.061455,1.748424e-01,-1.986689e-01
5.096361,1.761266e-01,-1.936869e-01
5.131268,1.773590e-01,-1.886459e-01
5.166175,1.785408e-01,-1.835474e-01
5.201081,1.796730e-01,-1.783930e-01
5.235988,1.807568e-01,-1.731843e-01
5.270894,1.817932e-01,-1.679229e-01
5.305801,1.827832e-01,-1.626102e-01
5.340708,1.837280e-01,-1.572481e-01
5.375614,1.846285e-01,-1.518380e-01
5.410521,1.854857e-01,-1.463817e-01
5.445427,1.863007e-01,-1.408808e-01
5.480334,1.870745e-01,-1.353370e-01
5.515240,1.878078e-01,-1.297520e-01
5.550147,1.885018e-01,-1.241274e-01
5.585054,1.891571e-01,-1.184651e-01
5.619960,1.897748e-01,-1.127666e-01
5.654867,1.903556e-01,-1.070338e-01
5.689773,1.909003e-01,-1.012684e-01
5.724680,1.914097e-01,-9.547214e-02
5.759587,1.918845e-01,-8.964680e-02
5.794493,1.923253e-01,-8.379416e-02
5.829400,1.927328e-01,-7.791599e-02
5.864306,1.931077e-01,-7.201409e-02
5.899213,1.934505e-01,-6.609025e-02
5.934119,1.937617e-01,-6.014629e-02
5.969026,1.940417e-01,-5.418400e-02
6.003933,1.942911e-01,-4.820520e-02
6.038839,1.945102e-01,-4.221172e-02
6.073746,1.946994e-01,-3.620538e-02
6.108652,1.948590e-01,-3.018802e-02
6.143559,1.949892e-01,-2.416146e-02
6.178466,1.950903e-01,-1.812753e-02
6.213372,1.951623e-01,-1.208809e-02
6.248279,1.952055e-01,-6.044967e-03
6.283185,1.952199e-01,-4.241793e-17
6.318092,1.952055e-01,6.044967e-03
6.352998,1.951623e-01,1.208809e-02
6.387905,1.950903e-01,1.812753e-02
6.422812,1.949892e-01,2.416146e-02
6.457718,1.948590e-01,3.018802e-02
6.492625,1.946994e-01,3.620538e-02
6.527531,1.945102e-01,4.221172e-02
6.562438,1.942911e-01,4.820520e-02
6.597345,1.940417e-01,5.418400e-02
6.632251,1.937617e-01,6.014629e-02
6.667158,1.934505e-01,6.609025e-02
6.702064,1.931077e-01,7.201409e-02
6.736971,1.927328e-01,7.791599e-02
6.771877,1.923253e-01,8.379416e-02
6.806784,1.918845e-01,8.964680e-02
6.841691,1.914097e-01,9.547214e-02
6.876597,1.909003e-01,1.012684e-01
6.911504,1.903556e-01,1.070338e-01
6.946410,1.897748e-01,1.127666e-01
6.981317,1.891571e-01,1.184651e-01
7.016224,1.885018e-01,1.241274e-01
7.051130,1.878078e-01,1.297520e-01
7.086037,1.870745e-01,1.353370e-01
7.120943,1.863007e-01,1.408808e-01
7.155850,1.854857e-01,1.463817e-01
7.190757,1.846285e-01,1.518380e-01
7.225663,1.837280e-01,1.572481e-01
7.260570,1.827832e-01,1.626102e-01
7.295476,1.817932e-01,1.679229e-01
7.330383,1.807568e-01,1.731843e-01
7.365289,1.796730e-01,1.783930e-01
7.400196,1.785408e-01,1.835474e-01
7.435103,1.773590e-01,1.886459e-01
7.470009,1.761266e-01,1.936869e-01
7.504916,1.748424e-01,1.986689e-01
7.539822,1.735054e-01,2.035904e-01
7.574729,1.721144e-01,2.084499e-01
7.609636,1.706683e-01,2.132458e-01
7.644542,1.691660e-01,2.179769e-01
7.679449,1.676064e-01,2.226415e-01
7.714355,1.659884e-01,2.272383e-01
7.749262,1.643109e-01,2.317659e-01
7.784168,1.625728e-01,2.362229e-01
7.819075,1.607731e-01,2.406079e-01
7.853982,1.589106e-01,2.449196e-01
7.888888,1.569844e-01,2.491568e-01
7.923795,1.549934e-01,2.533180e-01
7.958701,1.529366e-01,2.574021e-01
7.993608,1.508131e-01,2.614077e-01
8.028515,1.486219e-01,2.653338e-01
8.063421,1.463621e-01,2.691790e-01
8.098328,1.440328e-01,2.729422e-01
8.133234,1.416332e-01,2.766223e-01
8.168141,1.391623e-01,2.802181e-01
8.203047,1.366195e-01,2.837286e-01
8.237954,1.340040e-01,2.871526e-01
8.272861,1.313150e-01,2.904892e-01
8.307767,1.285520e-01,2.937373e-01
8.342674,1.257144e-01,2.968959e-01
8.377580,1.228014e-01,2.999641e-01
8.412487,1.198127e-01,3.029409e-01
8.447394,1.167477e-01,3.058254e-01
8.482300,1.136061e-01,3.086168e-01
8.517207,1.103875e-01,3.113141e-01
8.552113,1.070916e-01,3.139167e-01
8.587020,1.037181e-01,3.164236e-01
8.621927,1.002669e-01,3.188342e-01
8.656833,9.673779e-02,3.211476e-01
8.691740,9.313076e-02,3.233633e-01
8.726646,8.944581e-02,3.254804e-01
8.761553,8.568301e-02,3.274984e-01
8.796459,8.184249e-02,3.294167e-01
8.831366,7.792445e-02,3.312347e-01
8.866273,7.392917e-02,3.329519e-01
8.901179,6.985698e-02,3.345677e-01
8.936086,6.570831e-02,3.360816e-01
8.970992,6.148364e-02,3.374933e-01
9.005899,5.718352e-02,3.388023e-01
9.040806,5.280859e-02,3.400083e-01
9.075712,4.835955e-02,3.411109e-01
9.110619,4.383717e-02,3.421098e-01
9.145525,3.924232e-02,3.430048e-01
9.180432,3.457590e-02,3.437956e-01
9.215338,2.983892e-02,3.444823e-01
9.250245,2.503245e-02,3.450645e-01
9.285152,2.015763e-02,3.455423e-01
9.320058,1.521567e-02,3.459157e-01
9.354965,1.020784e-02,3.461847e-01
9.389871,5.135478e-03,3.463495e-01
9.424778,5.437834e-17,3.464102e-01
9.459685,-5.197139e-03,3.463673e-01
9.494591,-1.045442e-02,3.462209e-01
9.529498,-1.577029e-02,3.459716e-01
9.564404,-2.114315e-02,3.456200e-01
9.599311,-2.657136e-02,3.451668e-01
9.634217,-3.205326e-02,3.446127e-01
9.669124,-3.758719e-02,3.439587e-01
9.704031,-4.317149e-02,3.432059e-01
9.738937,-4.880452e-02,3.423556e-01
9.773844,-5.448466e-02,3.414091e-01
9.808750,-6.021036e-02,3.403682e-01
9.843657,-6.598016e-02,3.392348e-01
9.878564,-7.179270e-02,3.380108e-01
9.913470,-7.764673e-02,3.366987e-01
9.948377,-8.354122e-02,3.353010e-01
9.983283,-8.947530e-02,3.338206e-01
10.018190,-9.544837e-02,3.322608e-01
10.053096,-1.014601e-01,3.306251e-01
10.088003,-1.075106e-01,3.289173e-01
10.122910,-1.136003e-01,3.271416e-01
10.157816,-1.197299e-01,3.253025e-01
10.192723,-1.259010e-01,3.234051e-01
10.227629,-1.321154e-01,3.214545e-01
10.262536,-1.383759e-01,3.194564e-01
10.297443,-1.446856e-01,3.174167e-01
10.332349,-1.510486e-01,3.153419e-01
10.367256,-1.574699e-01,3.132385e-01
10.402162,-1.639553e-01,3.111133e-01
10.437069,-1.705115e-01,3.089736e-01
10.471976,-1.771464e-01,3.068266e-01
10.506882,-1.838689e-01,3.046797e-01
10.541789,-1.906888e-01,3.025404e-01
10.576695,-1.976173e-01,3.004160e-01
10.611602,-2.046668e-01,2.983137e-01
10.646508,-2.118505e-01,2.962406e-01
10.681415,-2.191832e-01,2.942032e-01
10.716322,-2.266804e-01,2.922075e-01
10.751228,-2.343588e-01,2.902591e-01
10.786135,-2.422361e-01,2.883624e-01
10.821041,-2.503306e-01,2.865212e-01
10.855948,-2.586614e-01,2.847380e-01
10.890855,-2.672482e-01,2.830140e-01
10.925761,-2.761107e-01,2.813491e-01
10.960668,-2.852687e-01,2.797415e-01
10.995574,-2.947420e-01,2.781878e-01
11.030481,-3.045494e-01,2.766825e-01
11.065387,-3.147091e-01,2.752183e-01
11.100294,-3.252378e-01,2.737859e-01
11.135201,-3.361506e-01,2.723738e-01
11.170107,-3.474606e-01,2.709681e-01
11.205014,-3.591783e-01,2.695530e-01
11.239920,-3.713110e-01,2.681103e-01
11.274827,-3.838630e-01,2.666198e-01
11.309734,-3.968344e-01,2.650592e-01
11.344640,-4.102213e-01,2.634044e-01
11.379547,-4.240152e-01,2.616295e-01
11.414453,-4.382022e-01,2.597071e-01
11.449360,-4.527636e-01,2.576087e-01
11.484266,-4.676748e-01,2.553048e-01
11.519173,-4.829055e-01,2.527654e-01
11.554080,-4.984196e-01,2.499602e-01
11.588986,-5.141748e-01,2.468592e-01
11.623893,-5.301231e-01,2.434329e-01
11.658799,-5.462107e-01,2.396532e-01
11.693706,-5.623780e-01,2.354932e-01
11.728613,-5.785604e-01,2.309281e-01
11.763519,-5.946883e-01,2.259356e-01
11.798426,-6.106876e-01,2.204962e-01
11.833332,-6.264808e-01,2.145938e-01
11.868239,-6.419870e-01,2.082160e-01
11.903145,-6.571231e-01,2.013541e-01
11.938052,-6.718047e-01,1.940039e-01
11.972959,-6.859467e-01,1.861659e-01
12.007865,-6.994644e-01,1.778449e-01
12.042772,-7.122743e-01,1.690507e-01
12.077678,-7.242956e-01,1.597980e-01
12.112585,-7.354505e-01,1.501060e-01
12.147492,-7.456656e-01,1.399987e-01
12.182398,-7.548730e-01,1.295047e-01
12.217305,-7.630105e-01,1.186564e-01
12.252211,-7.700232e-01,1.074904e-01
12.287118,-7.758638e-01,9.604638e-02
12.322025,-7.804933e-01,8.436734e-02
12.356931,-7.838814e-01,7.249849e-02
12.391838,-7.860074e-01,6.048703e-02
12.426744,-7.868599e-01,4.838145e-02
12.461651,-7.864373e-01,3.623098e-02
12.496557,-7.847477e-01,2.408490e-02
12.531464,-7.818087e-01,1.199202e-02
12.566371,-7.776474e-01,1.673639e-16
12.601277,-7.722998e-01,-1.184519e-02
12.636184,-7.658101e-01,-2.349981e-02
12.671090,-7.582307e-01,-3.492288e-02
12.705997,-7.496209e-01,-4.607662e-02
12.740904,-7.400463e-01,-5.692680e-02
12.775810,-7.295781e-01,-6.744315e-02
12.810717,-7.182918e-01,-7.759955e-02
12.845623,-7.062665e-01,-8.737425e-02
12.880530,-6.935840e-01,-9.674998e-02
12.915436,-6.803276e-01,-1.057140e-01
12.950343,-6.665811e-01,-1.142581e-01
12.985250,-6.524281e-01,-1.223784e-01
13.020156,-6.379510e-01,-1.300752e-01
13.055063,-6.232299e-01,-1.373531e-01
13.089969,-6.083423e-01,-1.442203e-01
13.124876,-5.933620e-01,-1.506882e-01
13.159783,-5.783585e-01,-1.567718e-01
13.194689,-5.633968e-01,-1.624884e-01
13.229596,-5.485369e-01,-1.678578e-01
13.264502,-5.338329e-01,-1.729017e-01
13.299409,-5.193337e-01,-1.776433e-01
13.334315,-5.050820e-01,-1.821068e-01
13.369222,-4.911149e-01,-1.863173e-01
13.404129,-4.774634e-01,-1.902998e-01
13.439035,-4.641530e-01,-1.940796e-01
13.473942,-4.512036e-01,-1.976816e-01
13.508848,-4.386296e-01,-2.011297e-01
13.543755,-4.264406e-01,-2.044470e-01
13.578662,-4.146415e-01,-2.076556e-01
13.613568,-4.032329e-01,-2.107758e-01
13.648475,-3.922115e-01,-2.138266e-01
13.683381,-3.815706e-01,-2.168253e-01
13.718288,-3.713004e-01,-2.197874e-01
13.753195,-3.613886e-01,-2.227266e-01
13.788101,-3.518206e-01,-2.256547e-01
13.823008,-3.425801e-01,-2.285817e-01
13.857914,-3.336496e-01,-2.315161e-01
13.892821,-3.250103e-01,-2.344642e-01
13.927727,-3.166430e-01,-2.374310e-01
13.962634,-3.085280e-01,-2.404199e-01
13.997541,-3.006456e-01,-2.434327e-01
14.032447,-2.929764e-01,-2.464703e-01
14.067354,-2.855013e-01,-2.495319e-01
14.102260,-2.782019e-01,-2.526161e-01
14.137167,-2.710606e-01,-2.557202e-01
14.172074,-2.640604e-01,-2.588410e-01
14.206980,-2.571858e-01,-2.619745e-01
14.241887,-2.504219e-01,-2.651162e-01
14.276793,-2.437552e-01,-2.682612e-01
14.311700,-2.371733e-01,-2.714041e-01
14.346606,-2.306648e-01,-2.745394e-01
14.381513,-2.242196e-01,-2.776616e-01
14.416420,-2.178288e-01,-2.807649e-01
14.451326,-2.114842e-01,-2.838436e-01
14.486233,-2.051790e-01,-2.868921e-01
14.521139,-1.989074e-01,-2.899049e-01
14.556046,-1.926642e-01,-2.928767e-01
14.590953,-1.864454e-01,-2.958022e-01
14.625859,-1.802477e-01,-2.986767e-01
14.660766,-1.740684e-01,-3.014953e-01
14.695672,-1.679056e-01,-3.042537e-01
14.730579,-1.617581e-01,-3.069477e-01
14.765485,-1.556249e-01,-3.095735e-01
14.800392,-1.495060e-01,-3.121273e-01
14.835299,-1.434013e-01,-3.146058e-01
14.870205,-1.373114e-01,-3.170060e-01
14.905112,-1.312372e-01,-3.193249e-01
14.940018,-1.251799e-01,-3.215599e-01
14.974925,-1.191407e-01,-3.237086e-01
15.009832,-1.131212e-01,-3.257688e-01
15.044738,-1.071232e-01,-3.277385e-01
15.079645,-1.011486e-01,-3.296160e-01
15.114551,-9.519931e-02,-3.313995e-01
15.149458,-8.927742e-02,-3.330877e-01
15.184364,-8.338506e-02,-3.346791e-01
15.219271,-7.752439e-02,-3.361726e-01
15.254178,-7.169760e-02,-3.375670e-01
15.289084,-6.590688e-02,-3.388616e-01
15.323991,-6.015444e-02,-3.400553e-01
15.358897,-5.444245e-02,-3.411475e-01
15.393804,-4.877307e-02,-3.421374e-01
15.428711,-4.314841e-02,-3.430246e-01
15.463617,-3.757056e-02,-3.438084e-01
15.498524,-3.204155e-02,-3.444885e-01
15.533430,-2.656337e-02,-3.450645e-01
15.568337,-2.113793e-02,-3.455360e-01
15.603244,-1.576711e-02,-3.459028e-01
15.638150,-1.045270e-02,-3.461647e-01
15.673057,-5.196440e-03,-3.463215e-01
15.707963,-9.062066e-17,-3.463730e-01
15.742870,5.135024e-03,-3.463194e-01
15.777776,1.020710e-02,-3.461604e-01
15.812683,1.521479e-02,-3.458961e-01
15.847590,2.015670e-02,-3.455266e-01
15.882496,2.503152e-02,-3.450519e-01
15.917403,2.983803e-02,-3.444722e-01
15.952309,3.457508e-02,-3.437877e-01
15.987216,3.924157e-02,-3.429984e-01
16.022123,4.383651e-02,-3.421047e-01
16.057029,4.835897e-02,-3.411069e-01
16.091936,5.280809e-02,-3.400052e-01
16.126842,5.718310e-02,-3.387999e-01
16.161749,6.148328e-02,-3.374914e-01
16.196655,6.570801e-02,-3.360801e-01
16.231562,6.985673e-02,-3.345665e-01
16.266469,7.392896e-02,-3.329510e-01
16.301375,7.792428e-02,-3.312340e-01
16.336282,8.184235e-02,-3.294162e-01
16.371188,8.568290e-02,-3.274980e-01
16.406095,8.944572e-02,-3.254801e-01
16.441002,9.313069e-02,-3.233630e-01
16.475908,9.673773e-02,-3.211474e-01
16.510815,1.002668e-01,-3.188340e-01
16.545721,1.037181e-01,-3.164235e-01
16.580628,1.070916e-01,-3.139166e-01
16.615534,1.103875e-01,-3.113141e-01
