crank_deg,WaX_dim_N,WaY_dim_N
209.000,5441.082,5025.943
210.000,5410.064,5183.419
211.000,5377.627,5339.317
212.000,5343.739,5493.588
213.000,5308.368,5646.185
214.000,5271.482,5797.063
215.000,5233.046,5946.174
216.000,5193.029,6093.475
217.000,5151.396,6238.919
218.000,5108.114,6382.463
219.000,5063.151,6524.063
220.000,5016.472,6663.676
221.000,4968.045,6801.258
222.000,4917.837,6936.769
223.000,4865.816,7070.167
224.000,4811.949,7201.411
225.000,4756.206,7330.462
226.000,4698.554,7457.280
227.000,4638.964,7581.826
228.000,4577.405,7704.063
229.000,4513.848,7823.953
230.000,4448.265,7941.459
231.000,4380.629,8056.547
232.000,4310.913,8169.181
233.000,4239.091,8279.326
234.000,4165.138,8386.949
235.000,4089.031,8492.017
236.000,4010.749,8594.499
237.000,3930.269,8694.363
238.000,3847.572,8791.578
239.000,3762.640,8886.116
240.000,3675.455,8977.946
241.000,3586.003,9067.042
242.000,3494.269,9153.376
243.000,3400.240,9236.922
244.000,3303.907,9317.655
245.000,3205.259,9395.549
246.000,3104.291,9470.582
247.000,3000.995,9542.730
248.000,2895.369,9611.971
249.000,2787.410,9678.286
250.000,2677.120,9741.652
251.000,2564.499,9802.052
252.000,2449.552,9859.467
253.000,2332.284,9913.880
254.000,2212.705,9965.274
255.000,2090.825,10013.635
256.000,1966.655,10058.948
257.000,1840.210,10101.199
258.000,1711.507,10140.378
259.000,1580.565,10176.472
260.000,1447.405,10209.472
261.000,1312.050,10239.370
262.000,1174.525,10266.157
263.000,1034.859,10289.829
264.000,893.081,10310.379
265.000,749.223,10327.805
266.000,603.319,10342.106
267.000,455.406,10353.281
268.000,305.521,10361.333
269.000,153.705,10366.265
270.000,0.000,10368.083
271.000,-155.551,10366.797
272.000,-312.902,10362.417
273.000,-472.006,10354.956
274.000,-632.816,10344.433
275.000,-795.283,10330.867
276.000,-959.356,10314.283
277.000,-1124.987,10294.709
278.000,-1292.126,10272.177
279.000,-1460.723,10246.726
280.000,-1630.730,10218.400
281.000,-1802.101,10187.246
282.000,-1974.791,10153.321
283.000,-2148.761,10116.688
284.000,-2323.972,10077.415
285.000,-2500.395,10035.583
286.000,-2678.002,9991.276
287.000,-2856.777,9944.591
288.000,-3036.709,9895.633
289.000,-3217.801,9844.518
290.000,-3400.064,9791.371
291.000,-3583.525,9736.328
292.000,-3768.226,9679.537
293.000,-3954.225,9621.155
294.000,-4141.600,9561.352
295.000,-4330.449,9500.306
296.000,-4520.896,9438.206
297.000,-4713.086,9375.250
298.000,-4907.194,9311.645
299.000,-5103.423,9247.603
300.000,-5302.006,9183.343
301.000,-5503.208,9119.087
302.000,-5707.329,9055.056
303.000,-5914.701,8991.472
304.000,-6125.691,8928.551
305.000,-6340.702,8866.502
306.000,-6560.169,8805.522
307.000,-6784.561,8745.792
308.000,-7014.377,8687.475
309.000,-7250.143,8630.708
310.000,-7492.412,8575.601
311.000,-7741.755,8522.229
312.000,-7998.757,8470.630
313.000,-8264.012,8420.800
314.000,-8538.114,8372.684
315.000,-8821.649,8326.180
316.000,-9115.185,8281.126
317.000,-9419.265,8237.304
318.000,-9734.390,8194.433
319.000,-10061.013,8152.167
320.000,-10399.522,8110.095
321.000,-10750.231,8067.740
322.000,-11113.365,8024.560
323.000,-11489.046,7979.949
324.000,-11877.282,7933.241
325.000,-12277.954,7883.712
326.000,-12690.805,7830.589
327.000,-13115.425,7773.052
328.000,-13551.248,7710.247
329.000,-13997.541,7641.292
330.000,-14453.397,7565.287
331.000,-14917.734,7481.327
332.000,-15389.289,7388.513
333.000,-15866.624,7285.966
334.000,-16348.126,7172.838
335.000,-16832.016,7048.327
336.000,-17316.356,6911.693
337.000,-17799.063,6762.267
338.000,-18277.925,6599.467
339.000,-18750.615,6422.809
340.000,-19214.716,6231.919
341.000,-19667.742,6026.541
342.000,-20107.164,5806.551
343.000,-20530.435,5571.958
344.000,-20935.019,5322.910
345.000,-21318.422,5059.700
346.000,-21678.219,4782.764
347.000,-22012.085,4492.683
348.000,-22317.826,4190.172
349.000,-22593.403,3876.084
350.000,-22836.960,3551.395
351.000,-23046.851,3217.194
352.000,-23221.660,2874.675
353.000,-23360.220,2525.120
354.000,-23461.627,2169.885
355.000,-23525.258,1810.381
356.000,-23550.774,1448.060
357.000,-23538.125,1084.396
358.000,-23487.555,720.863
359.000,-23399.592,358.922
360.000,-23275.044,0.000
361.000,-23114.988,-354.527
362.000,-22920.752,-703.351
363.000,-22693.900,-1045.244
364.000,-22436.208,-1379.076
365.000,-22149.641,-1703.823
366.000,-21836.325,-2018.578
367.000,-21498.524,-2322.560
368.000,-21138.607,-2615.118
369.000,-20759.019,-2895.734
370.000,-20362.253,-3164.028
371.000,-19950.820,-3419.753
372.000,-19527.221,-3662.793
373.000,-19093.920,-3893.161
374.000,-18653.317,-4110.989
375.000,-18207.730,-4316.523
376.000,-17759.366,-4510.110
377.000,-17310.311,-4692.191
378.000,-16862.508,-4863.290
379.000,-16417.748,-5023.997
380.000,-15977.658,-5174.961
381.000,-15543.694,-5316.877
382.000,-15117.141,-5450.471
383.000,-14699.103,-5576.489
384.000,-14290.514,-5695.686
385.000,-13892.134,-5808.817
386.000,-13504.555,-5916.624
387.000,-13128.215,-6019.825
388.000,-12763.397,-6119.114
389.000,-12410.250,-6215.146
390.000,-12068.789,-6308.534
391.000,-11738.918,-6399.846
392.000,-11420.435,-6489.597
393.000,-11113.048,-6578.253
394.000,-10816.386,-6666.222
395.000,-10530.015,-6753.860
396.000,-10253.448,-6841.468
397.000,-9986.157,-6929.293
398.000,-9727.582,-7017.530
399.000,-9477.147,-7106.326
400.000,-9234.264,-7195.784
401.000,-8998.344,-7285.960
402.000,-8768.805,-7376.873
403.000,-8545.075,-7468.508
404.000,-8326.604,-7560.817
405.000,-8112.862,-7653.724
406.000,-7903.348,-7747.130
407.000,-7697.589,-7840.917
408.000,-7495.146,-7934.948
409.000,-7295.612,-8029.077
410.000,-7098.614,-8123.144
411.000,-6903.815,-8216.985
412.000,-6710.910,-8310.432
413.000,-6519.630,-8403.314
414.000,-6329.737,-8495.460
415.000,-6141.023,-8586.702
416.000,-5953.312,-8676.875
417.000,-5766.454,-8765.820
