h_p_um,oil,eps_max,W_smooth,W_tex,W_gain,f_smooth,f_tex,f_gain,Ftr_smooth,Ftr_tex,Ftr_gain,Nloss_smooth,Nloss_tex,Nloss_gain,pmax_smooth_MPa,pmax_tex_MPa,pmax_gain,Q_smooth_cm3s,Q_tex_cm3s,Q_gain
30,Минеральное,0.80,10287.0,12087.4,1.175,0.00755,0.00621,0.822,77.66,75.03,0.966,853.9,825.0,0.966,7.14,8.10,1.135,0.3503,0.3850,1.099
30,Рапсовое,0.80,11588.9,13731.6,1.185,0.00761,0.00621,0.815,88.22,85.24,0.966,970.1,937.3,0.966,7.95,9.18,1.154,0.3512,0.3859,1.099
